teamID,yearID,cumulative_sum_millions
ANA,1997,31.1
ANA,1998,72.4
ANA,1999,127.8
ANA,2000,179.3
ANA,2001,226.8
ANA,2002,288.5
ANA,2003,367.6
ANA,2004,468.1
ARI,1998,32.3
ARI,1999,101.1
ARI,2000,182.1
ARI,2001,267.2
ARI,2002,370.0
ARI,2003,450.6
ARI,2004,520.4
ARI,2005,582.7
ARI,2006,642.4
ARI,2007,694.5
ARI,2008,760.7
ARI,2009,833.8
ARI,2010,894.5
ARI,2011,948.2
ARI,2012,1022.0
ARI,2013,1112.1
ARI,2014,1210.0
ATL,1985,14.8
ATL,1986,31.9
ATL,1987,48.5
ATL,1988,61.2
ATL,1989,72.3
ATL,1990,86.9
ATL,1991,105.3
ATL,1992,139.9
ATL,1993,181.5
ATL,1994,230.9
ATL,1995,278.1
ATL,1996,327.8
ATL,1997,380.1
ATL,1998,441.3
ATL,1999,514.4
ATL,2000,599.0
ATL,2001,690.9
ATL,2002,783.8
ATL,2003,890.0
ATL,2004,980.2
ATL,2005,1066.7
ATL,2006,1156.8
ATL,2007,1244.1
ATL,2008,1346.5
ATL,2009,1443.2
ATL,2010,1527.6
ATL,2011,1614.6
ATL,2012,1697.5
ATL,2013,1785.3
ATL,2014,1882.9
BAL,1985,11.6
BAL,1986,24.6
BAL,1987,38.5
BAL,1988,52.0
BAL,1989,60.3
BAL,1990,69.9
BAL,1991,87.5
BAL,1992,111.2
BAL,1993,140.3
BAL,1994,179.2
BAL,1995,223.1
BAL,1996,277.6
BAL,1997,336.1
BAL,1998,408.5
BAL,1999,489.1
BAL,2000,570.6
BAL,2001,638.2
BAL,2002,698.6
BAL,2003,772.5
BAL,2004,824.1
BAL,2005,898.1
BAL,2006,970.6
BAL,2007,1063.8
BAL,2008,1131.0
BAL,2009,1198.1
BAL,2010,1279.7
BAL,2011,1365.0
BAL,2012,1442.4
BAL,2013,1526.8
BAL,2014,1630.2
BOS,1985,10.9
BOS,1986,25.3
BOS,1987,35.4
BOS,1988,49.3
BOS,1989,66.8
BOS,1990,87.4
BOS,1991,122.5
BOS,1992,166.2
BOS,1993,203.3
BOS,1994,241.1
BOS,1995,273.6
BOS,1996,316.0
BOS,1997,359.5
BOS,1998,416.3
BOS,1999,479.8
BOS,2000,557.7
BOS,2001,667.8
BOS,2002,776.1
BOS,2003,876.1
BOS,2004,1003.4
BOS,2005,1126.9
BOS,2006,1247.0
BOS,2007,1390.0
BOS,2008,1523.4
BOS,2009,1644.8
BOS,2010,1807.2
BOS,2011,1969.0
BOS,2012,2142.2
BOS,2013,2293.7
BOS,2014,2432.7
CAL,1985,14.4
CAL,1986,28.9
CAL,1987,41.7
CAL,1988,53.6
CAL,1989,68.7
CAL,1990,90.5
CAL,1991,123.5
CAL,1992,158.3
CAL,1993,186.9
CAL,1994,212.0
CAL,1995,243.2
CAL,1996,272.0
CHA,1985,9.8
CHA,1986,20.3
CHA,1987,30.9
CHA,1988,37.3
CHA,1989,44.6
CHA,1990,54.1
CHA,1991,71.0
CHA,1992,101.1
CHA,1993,140.8
CHA,1994,180.0
CHA,1995,227.0
CHA,1996,272.1
CHA,1997,329.9
CHA,1998,368.2
CHA,1999,393.8
CHA,2000,424.9
